metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/60DF5F886BE1797405258760005E97EA/$FILE/Asis_vot_OFICIAL_16-09-21_II.pdf
dia,2021-09-16
hora,23:38
asunto,"TEXTO SUSTITUTORIO DE LA MOCIÓN 027, QUE PROPONE CONFORMAR UNA COMISIÓN ESPECIAL INVESTIGADORA MULTIPARTIDARIA RESPECTO AL COBRO DEL CONCEPTO DE 'CARGO FIJO' EN LOS RECIBOS DEL SERVICIO DE ELECTRICIDAD EN EL PERIODO DE MARZO, ABRIL Y JUNIO DE 202, DURANTE EL GOBIERNO DEL EXPRESIDENTE MARTÍN VIZCARRA CORNEJO, Y OTORGARLE LAS FACULTADES DE CONTROL POLÍTICO, HASTA POR EL LAPSO DE 120 DÍAS HÁBILES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
