metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 10 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/70594223943131300525880600718C06/$FILE/Asis_vot_OFICIAL_10-03-22.pdf
dia,2022-03-10
hora,17:46
asunto,"ACLARACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 442, QUE PROPONE MODIFICAR LA LEY 30112, LEY DEL EJERCICIO PROFESIONAL DEL TRABAJADOR SOCIAL"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
