metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,18:14
asunto,"TEXTO SUSTITUTORIO DE LA MOCIÓN 028, QUE PROPONE CONSTITUIR UNA COMISIÓN INVESTIGADORA DEL PROCESO DE ELECCIONES GENERALES 2021, POR EL PLAZO DE 120 DÍAS HÁBILES, QUE SE ENCARGARÁ DE INVESTIGAR LOS PRESUNTOS ACTOS DE CORRUPCIÓN Y CUALQUIER OTRO TIPO DE DELITOS QUE INVOLUCREN FUNCIONARIOS O SERVIDORES PÚBLICOS; ASI COMO A CUALQUIER PERSONA NATURAL QUE RESULTE RESPONSABLE DE HABER ATENTADO CONTRA EL ORDEN ELECTORAL Y LA VOLUNTAD POPULAR. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
