metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 09-12-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf
dia,2021-12-09
hora,12:00
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 348 (ACTUALIZADO), QUE POPONE LA LEY QUE DECLARA 28 DE NOVIEMBRE DE CADA AO DÍA DE LA BATALLA DE SECCHAPAMPA"
presidente,"CAMNES SORIANO, LADY MERCEDES"
quorum,65
