metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,sesión virtual del 01 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/903C8B9FF2A06005052587F9006F9A50/$FILE/Asis_vot_OFICIAL_01-03-22.pdf
dia,2022-03-01
hora,00:29
quorum,64
