metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 17 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf
dia,2021-12-17
hora,23:30
asunto,"CUESTIÓN PREVIA PARA QUE RETORNE A LA COMISIÓN DE EDUCACIÓN EL DICTAMEN RECAÍDO EN LOS PROYECTOS DE LEY 155, 307, 308, 309, 310 Y 311 (ACTUALIZADOS). QUE PROPONE LA LEY QUE CREA EL COLEGIO PROFESIONAL DE HISTORIADORES DEL PERÚ"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
