numero,grupo_parlamentario,congresista,asistencia
100,FP,RAMÍREZ GARCÍA TANIA ESTEFANY,PRE
101,FP,REVILLA VILLANUEVA CÉSAR MANUEL,PRE
102,PL,REYES CAM ABEL AUGUSTO,AUS
103,JPP,REYMUNDO MERCADO EDGARD CORNELIO,PRE
104,PL,RIVAS CHACARA JANET MILAGROS,AUS
105,PL,ROBLES ARAUJO SILVANA EMPERATRIZ,AUS
106,APP,RUÍZ RODRÍGUEZ MAGALY ROSMERY,PRE
107,SP-PM,SAAVEDRA CASTERNOQUE HITLER,PRE
108,APP,SALHUANA CAVIDES EDUARDO,PRE
109,JPP,SÁNCHEZ PALOMINO ROBERTO HELBERT,PRE
110,AP,SOTO PALACIOS WILSON,AUS
111,APP,SOTO REYES ALEJANDRO,PRE
112,PL,TACURI VALDIVIA GERMÁN ADOLFO,PRE
113,PL,TAIPE CORONADO MARÍA ELIZABETH,AUS
114,PL,TELLO MONTES NIVARDO EDGAR,AUS
115,APP,TORRES SALINAS ROSIO,PRE
116,APP,TRIGOZO REÁTEGUI CHERYL,AUS
117,AVP,TUDELA GUTIÉRREZ ADRIANA JOSEFINA,PRE
118,PL,UGARTE MAMANI JHAKELINE KATY,PRE
119,RP,VALER PINTO HÉCTOR,AUS
120,PL,VARAS MELÉNDEZ ELÍAS MARCIAL,AUS
121,PL,VÁSQUEZ VELA LUCINDA,AUS
122,FP,VENTURA ANGEL HÉCTOR JOSÉ,PRE
123,AP,VERGARA MENDOZA ELVIS HERNÁN,PRE
124,AVP,WILLIAMS ZAPATA JOSÉ DANIEL,PRE
125,PP,WONG PUJADA ENRIQUE,PRE
126,RP,YARROW LUMBRERAS NORMA MARTINA,PRE
127,PL,ZEA CHOQUECHAMBI OSCAR,PRE
128,RP,ZEBALLOS APONTE JORGE ARTURO,PRE
129,AP,ZEBALLOS MADARIAGA CARLOS JAVIER,PRE
130,FP,ZETA CHUNGA CRUZ MARÍA,AUS
