metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 21 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf
dia,2022-01-21
hora,20:52
asunto,"ADMISIÓN DE LA MOCIÓN 1691, QUE PROPONE INTERPELAR AL MINISTRO DE ENERGÍA Y MINAS, EDUARDO EUGENIO GONZÁLES TORO, A FIN DE QUE CONCURRA AL CONGRESO DE LA REPÚBLICA Y DÉ CUENTA DE LA LEGALIDAD DE LA DESIGNACIÓN DEL SEÑOR DANIEL ENRIQUE SALAVERRY VILA EN EL CARGO DE PRESIDENTE DEL DIRECTORIO DE PERUPETRO S.A."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
