metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual 24 agosto 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C8658AA96E0B08180525873E00071567/$FILE/Asis_vot_OFICIAL_24-08-21.pdf
dia,2021-08-24
hora,18:07
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 104, QUE PROPONE CENSURAR A LA PRESIDENTA MARÍA DEL CARMEN ALVA PRIETO; A LA PRIMERA VICEPRESIDENTA LAIDY CAMONES SORIANO, AL SEGUNDO VICEPRESIDENTE ENRIQUE WONG PUJADA Y A LA TERCERA VICEPRESIDENTA PATRICIA CHIRINOS VENEGAS, PORQUE SU FUNCIÓN NO CUMPLE CON EL RESPETO Y CUMPLIMIENTO AL  REGLAMENTO DEL CONGRESO, AFECTANDO EL DERECHO DE REPRESENTACIÓN DE CADA UNO DE LOS CONGRESISTAS DEL GRUPO PARLAMENTARIO PERÚ LIBRE."
presidente,"MONTOYA MANRIQUE, JORGE"
quorum,65
