metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,10:18
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 730, QUE PROPONE MODIFICAR EL ARTÍCULO 31 DE LA LEY 30220, LEY UNIVERSITARIA, INCORPORANDO LAS SECCIONES DE FACULTAD O ESCUELAS PROFESIONALES, EN EL RÉGIMEN ACADÉMICO DE LAS UNIVERSIDADES PÚBLICAS LICENCIADAS"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN "
quorum,60
