metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 14 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5E3E2BF0705E9EB405258807007B2969/$FILE/Asis_vot_OFICIAL_14-03-22.pdf
dia,2022-03-14
hora,12:38
asunto,"ADMISIÓN DE LA MOCIÓN 2148, QUE PROPONE DECLARAR LA PERMANENTE INCAPACIDAD MORAL DEL PRESIDENTE DE LA REPÚBLICA, CIUDADANO JOSÉ PEDRO CASTILLO TERRONES, SEGÚN LO ESTABLECIDO EN EL INCISO 2) DEL ART. 113 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ; Y DECLARAR LA VACANCIA DE LA PRESIDENCIA DE LA REPÚBLICA Y, EN CONSECUENCIA, LA APLICACIÓN DEL RÉGIMEN DE SUCESIÓN ESTABLECIDO EN EL ART. 115 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
