metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A39974FBEA89E8105258760005E7F6E/$FILE/Asis_vot_OFICIAL_16-09-21.pdf
dia,2021-09-16
hora,21:49
asunto,"CUESTIÓN PREVIA PARA QUE SE VOTE POR SEPARADO LA MODIFICACIÓN DEL ARTÍCULO 58°, REFERIDO A LAS ELECCIONES PRIMARIAS EN EL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 113, 128 Y 136, QUE PROPONE LA LEY QUE ESTABLECE REGLAS ELECTORALES APLICABLES EN LAS ELECCIONES REGIONALES Y MUNICIPALES DEL AÑO 2022"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
