metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 14 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5E3E2BF0705E9EB405258807007B2969/$FILE/Asis_vot_OFICIAL_14-03-22.pdf
dia,2022-03-14
hora,13:56
asunto,PROPUESTA DEL CONGRESISTA MONTOYA MANRIQUE PARA QUE EL DEBATE Y LA VOTACIÓN DEL PEDIDO DE VACANCIA DE LA PRESIDENCIA DE LA REPÚBLICA SE REALICE EL VIERNES 18 DE MARZO A LAS 10 HORAS
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
