metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 09-12-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf
dia,2021-12-09
hora,14:16
asunto,"VOTACIÓN EN EL EXTREMO DEL PROYECTO REFERIDO A LAS ADICIONES QUE SE PROPONEN EN LOS ARTÍCULOS 68 Y 76 DEL REGLAMENTO A FIN DE QUE LAS PROPUESTAS DE NATURALEZA O CARÁCTER DECLARATIVO SE TRAMITEN A TRAVÉS DE LAS MOCIONES DE ORDEN DEL DÍA Y NO COMO INICIATIVAS LEGISLATIVAS, ASÍ COMO LA DISPOSICIÓN ADICIONAL PLANTEADA POR LA PRESIDENTE DE LA COMISIÓN INFORMANTE, SOBRE EL TRÁMITE DE LOS PROYECTOS DE LEY DE CARÁCTER DECLARATIVOS EXISTENTES (PROYECTOS DE"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
