metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,17:35
asunto,"ELECCIÓN DE LOS MIEMBROS DEL DIRECTORIO DEL BANCO CENTRAL DE RESERVA DEL PERÚ SEÑORES: DIEGO MACERA POLI, INÉS MARYLIN CHOY CHONG Y CARLOS AUGUSTO OLIVIA NEYRA. PROPUESTA DE LA COMISIÓN ESPECIAL MULTIPARTIDARIA, INTEGRADA POR LOS MIEMBROS DE LA JUNTA DE PORTAVOCES DEL CONGRESO DE LA REPÚBLICA, ENCARGADA DE ELEGIR Y PROPONER AL PLENO DEL CONGRESO A LOS TRES INTEGRANTES DEL DIRECTORIO DEL BANCO CENTRAL DE RESERVA."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
