metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 1 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/EF799D313620C96C052587DD00027894/$FILE/Asis_vot_OFICIAL_1-02-22.pdf
dia,2022-02-01
hora,19:08
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 990, QUE PROPONE LA LEY QUE MODIFICA LOS ARTICULOS 1,2 Y 3, E INCORPORA EL ARTÌCULO 3.A   EN LA LEY  27510, LEY QUE CREA EL FONDO DE COMPENSACION SOCIAL ELECTRICA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
