metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 06-10-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/15E10BDEB4CB1A74052587330076502C/$FILE/Asis-vot-OFICIAL-26-07-21.pdf 
dia,2021-07-26
hora,10:40
asunto,CUESTIÓN DE ORDEN PLANTEADA POR LA CONGRESISTA LUQUE IBARRA RESPECTO DE LA APLICACIÓN DEL ARTÍCULO 12 DEL REGLAMENTO DEL CONGRESO PARA PERMITIR LA PARTICIPACIÓN DE LA LISTA N° 3 EN EL PROCESO DE ELECCIÓN DE LA MESA DIRECTIVA
presidente,"QUITO SARMIENTO, BERNARDO JAIME"
quorum,66
