metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 02 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,11:05
asunto,"PROYECTOS DE LEY 360 Y 361, QUE PROPONEN DEROGAR LA LEY 30636, LEY QUE CREA EL SEGURO OBLIGATORIO DEL PESCADOR ARTESANAL (SOPA)"
presidente,"ALVA  PRIETO, MARÍA DEL CARMEN"
quorum,63
