metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 12 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F7C734009F8665A7052587D0005236BC/$FILE/Asis_vot_OFICIAL_12-01-2022_2.pdf
dia,2022-01-12
hora,19:59
asunto,"TEXTO SUSTITUTORIO CONSENSUADO DE LAS COMISIONES DE CONSTITUCIÓN, DE RELACIONES EXTERIORES Y DE PUEBLOS ANDINOS, RECAÍDO EN LOS PROYECTOS DE RESOLUCIÓN LEGISLATIVA 82, 84, 289, 624 Y 654, QUE PROPONE INCORPORAR EL LITERAL K) AL ARTÍCULO 22, MODIFICA EL LITERAL F) DEL ARTÍCULO 23 Y EL ARTÍCULO 51 DEL REGLAMENTO DEL CONGRESO, CON EL FIN DE MEJORAR EL DESEMPEÑO DE LA REPRESENTACIÓN PARLAMENTARIA"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,64
