metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A39974FBEA89E8105258760005E7F6E/$FILE/Asis_vot_OFICIAL_16-09-21.pdf
dia,2021-09-16
hora,22:16
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 191, 195 Y 203, QUE PROPONE LA LEY QUE INCORPORA EL ARTÍCULO 112-A A LA LEY 26842, LEY GENERAL DE SALUD, A FIN DE ESTABLECER EL DESTINO DE CADÁVERES DE INTERNOS QUE VENÍAN CUMPLIENDO CONDENA POR LOS DELITOS DE TRAICIÓN A LA PATRIA O DE TERRORISMO EN SU CONDICIÓN DE LÍDER, CABECILLA O INTEGRANTE DE LA CÚPULA DE ORGANIZACIONES TERRORISTAS"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
