metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2023-2024
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia de la sesión del 28-07-2023 (Sesión Solemne)
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/199235E7C28E76DD052589FD0062A9F4/$FILE/Asistencia_OFICIAL_28-07-23.pdf
dia,2023-07-28
