metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 09-12-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf
dia,2021-12-09
hora,19:09
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 482, QUE PROPONE OTORGAR FACULTADES DE COMISIÓN INVESTIGADORA A LA COMISIÓN DE DEFENSA DEL CONSUMIDOR PARA INVESTIGAR HASTA POR 180 DÍAS AL INDECOPI, OSINERGMIN, OSIPTEL, OSITRAN, SUNASS, SBS, SUSALUD Y SUTRAN, PARA DETERMINAR RESPONSABILIDADES ADMINISTRATIVAS, CIVILES O PENALES, DE FUNCIONARIOS, Y EX FUNCIONARIOS DE LOS ÚLTIMOS 5 AÑOS, ASÍ COMO PARA PROPONER REFORMAS NORMATIVAS E INSTITUCIONALES"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
