metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 31 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE4D3E61BBBD3DAA052587DE00741E21/$FILE/Asis_vot_OFICIAL_31-01-22.pdf
dia,2022-01-31
hora,13:39
asunto,"PROPUESTA PARA QUE EL MINISTRO DE RELACIONES EXTERIORES, CANCILLER ÓSCAR JOSÉ MAÚRTUA DE ROMAÑA, CONCURRA EL MARTES 1 DE FEBRERO DE 2022 A LAS 9:30 HRS A FIN DE QUE INFORME SI ES UNA POLÍTICA DE ESTADO DEL ACTUAL GOBIERNO EL APLICAR UN REFERÉNDUM PARA CEDER TERRITORIO MARÍTIMO AL ESTADO BOLIVIANO; ENTRE OTROS."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
