metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/807EF3A0C55FD41705258767005C0085/$FILE/Asis_vot_OFICIAL_29-09-2021.pdf
dia,2021-09-29
hora,17:38
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 448, QUE PROPONE OTORGAR FACULTADES DE COMISIÓN INVESTIGADORA A LA COMISIÓN DE FISCALIZACIÓN Y CONTRALORÍA, DE CONFORMIDAD CON LO ESTABLECIDO POR EL ARTÍCULO 88 DEL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA, POR 180 DÍAS HÁBILES, PARA INVESTIGAR LAS RAZONES POR LAS CUALES SE HA PARALIZADO LA CONSTRUCCIÓN DE 3314 OBRAS ENTRE LAS QUE SE ENCUENTRAN 14 HOSPITALES A NIVEL NACIONAL"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
