metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votaciones de la sesión del 11-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0C87DE0D6A919D300525878E006EB3F7/$FILE/Asis_vot_OFICIAL_11-11-2021.pdf
dia,2021-11-11
hora,15:29
asunto,"ADMISIÓN DE LA MOCIÓN 1005, QUE PROPONE INTERPELAR AL MINISTRO DE DEFENSA, WALTER AYALA GONZÁLES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
