metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,21:01
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 1212, QUE PROPONE LA  LEY QUE APRUEBA CRÉDITOS COMPLEMENTARIOS PARA EL FINANCIAMIENTO DE MAYORES GASTOS DE LAS ENTIDADES DEL GOBIERNO NACIONAL, LOS GOBIERNOS REGIONALES Y LOS GOBIERNOS LOCALES, Y DICTA OTRAS MEDIDAS."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
