metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2022-2023
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia de la sesión del 12-09-2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/92605D6D2BC5EB14052588BC006EA675/$FILE/Asis_OFICIAL_12-09-22_Elección_Pdte.pdf
dia,2022-09-12
