numero,grupo_parlamentario,congresista,votacion
94,NA,"PICÓN QUEDO, LUIS RAÚL",ABST
95,PL,"PORTALATINO ÁVALOS, KELLY ROXANA",ABST
96,AP,"PORTERO LÓPEZ, HILDA MARLENY",SI
97,PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",SINRES
98,PL,"QUISPE MAMANI, WILSON RUSBEL",LO
99,PL,"QUITO SARMIENTO, BERNARDO JAIME",ABST
100,FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",SI
101,FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",SI
102,PL,"REYES CAM, ABEL AUGUSTO",ABST
103,CD,"REYMUNDO MERCADO, EDGARD CORNELIO",SINRES
104,PL,"RIVAS CHACARA, JANET MILAGROS",NO
105,PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",SINRES
106,APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",SI
107,SP,"SAAVEDRA CASTERNOQUE, HITLER",ABST
108,APP,"SALHUANA CAVIDES, EDUARDO",SINRES
109,CD,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",ABST
110,AP,"SOTO PALACIOS, WILSON",SINRES
111,APP,"SOTO REYES, ALEJANDRO",SI
112,PL,"TACURI VALDIVIA, GERMÁN ADOLFO",AUS
113,PL,"TAIPE CORONADO, MARÍA ELIZABETH",SINRES
114,PL,"TELLO MONTES, NIVARDO EDGAR",ABST
115,APP,"TORRES SALINAS, ROSIO",SINRES
116,APP,"TRIGOZO REÁTEGUI, CHERYL",SI
117,AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",SI
118,PL,"UGARTE MAMANI, JHAKELINE KATY",ABST
119,PD,"VALER PINTO, HÉCTOR",ABST
120,PL,"VARAS MELÉNDEZ, ELÍAS MARCIAL",NO
121,PL,"VÁSQUEZ VELA, LUCINDA",SINRES
122,FP,"VENTURA ANGEL, HÉCTOR JOSÉ",SINRES
123,AP,"VERGARA MENDOZA, ELVIS HERNÁN",AUS
124,AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",SI
125,NA,"WONG PUJADA, ENRIQUE",SINRES
126,AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",SI
127,PL,"ZEA CHOQUECHAMBI, OSCAR",LO
128,RP,"ZEBALLOS APONTE, JORGE ARTURO",AUS
129,PD,"ZEBALLOS MADARIAGA, CARLOS JAVIER",ABST
130,FP,"ZETA CHUNGA, CRUZ MARÍA",SI
