metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,23:04
asunto,"INFORME PRELIMINAR, EN MAYORÍA, DE LA COMISIÓN INVESTIGADORA DEL PROCESO DE ELECCIONES GENERALES 2021 (MOCIÓN 28), MEDIANTE EL CUAL SOLICITA AL PLENO DEL CONGRESO DE LA REPÚBLICA, LA AMPLIACIÓN DEL PLAZO DE 20 DÍAS HÁBILES PARA CULMINAR CON LAS INVESTIGACIONES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
