metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 31 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE4D3E61BBBD3DAA052587DE00741E21/$FILE/Asis_vot_OFICIAL_31-01-22.pdf
dia,2022-01-31
hora,16:47
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 1868, QUE PROPONE OTORGAR FACULTADES DE COMISIÓN INVESTIGADORA A LA COMISIÓN DE PUEBLOS ANDINOS PARA INVESTIGAR POR UN PLAZO DE 90 DÍAS HÁBILES LAS ACCIONES DE LOS FUNCIONARIOS PÚBLICOS Y PRIVADOS QUE OCASIONARON EL DERRAME DE PETRÓLEO DE LA EMPRESA MULTINACIONAL REPSOLYPF S.A EN VENTANILLA Y SUS CONSECUENCIAS EN EL MEDIO AMBIENTE Y LA ECOLOGÍA."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
