metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/63496A82320A2BF40525874F00537F01/$FILE/Asis_vot_OFICIAL-02-09-21.pdf
dia,2021-09-02
hora,19:40
asunto,NÓMINA DE INTEGRANTES DE LA COMISIÓN DE ÉTICA PARLAMENTARIA PARA EL PERIODO 2021-2023 
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
