metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencias y votaciones de la sesión del 11-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0C87DE0D6A919D300525878E006EB3F7/$FILE/Asis_vot_OFICIAL_11-11-2021.pdf
dia,2021-11-11
hora,17:43
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 273, 315, 381 Y 405, QUE PROPONE LA LEY QUE MODIFICA EL ARTÍCULO 4 DEL DECRETO LEGISLATIVO 1496, QUE ESTABLECE DISPOSICIONES EN MATERIA DE EDUCACIÓN SUPERIOR UNIVERSITARIA EN EL MARCO DEL ESTADO DE EMERGENCIA SANITARIA A NIVEL NACIONAL, A FIN DE AMPLIAR EL PLAZO DE ADECUACIÓN DE LOS DOCENTES DE UNIVERSIDADES PÚBLICAS Y PRIVADAS RESPECTO A LA OBTENCIÓN DE GRADOS ACADÉMICOS"
presidente,"WONG PUJADA, ENRIQUE"
quorum,61
