metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,20:57
asunto,"TEXTO SUSTITUTORIO DE LA MOCIÓN 501, QUE PROPONE CONFORMAR LA COMISIÓN ESPECIA MULTIPARTIDARIA DE ESTUDIO, ENCARGADA DE REALIZAR INVESTIGACIONES, ESTUDIOS LEGALES Y GESTIONAR LOS PROYECTOS NORMATIVOS NECESARIOS QUE PERMITAN PROPOPONER SOLUCIONES PARA QUE LOS SECTORES POPULARES DE PERUANOS EMPRENDEDORES PUEDAN GENERAR CAPITAL (EN ADELANTE DENOMINADA COMISIÓN CAPITAL PERÚ), DURANTE EL PERIODO PARLAMENTARIO 2021-2026    "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
