metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,21:04
asunto,"
CUADRO NOMINATIVO DE LA COMISION ESPECIAL DE SEGUIMIENTO PARLAMENTARIO AL ACUERDO DE AL ALIANZA DEL PACIFICO QUE ESTARIA INTEGRADA POR UN CONGRESISTA DE CADA
GRUPO PARLAMENTARIO. A FIN DE FORTALECER LA COOPERACION EN EL TERMINOS ECONOMICOS Y SOCIALES QUE IMPULSEN LA INVSERSION, EL EMPLEO Y EL CLECIMIENTO
DE LAS PYMES A TRAVEZ DE LA GENERACION DE CADENAS DE VALOR REGIONALES INTEGRADAS AL ASI"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
