metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 04 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE29D238626D53C00525881D004FEB69/$FILE/Asis_vot_OFICIAL_04-04-2022.pdf
dia,2022-04-04
hora,18:46
asunto,CUESTIÓN PREVIA EN EL SENTIDO DE AUTORIZAR A LA MESA DIRECTIVA Y A LOS PORTAVOCES DE LOS GRUPOS PARLAMENTARIOS PARA QUE EN LA FECHA SE REÚNAN CON EL PRESIDENTE DE LA REPÚBLICA A EFECTOS DE PODER ATENDER DE MANERA COORDINADA LAS NECESIDADES DE LA POBLACIÓN.
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
