metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A39974FBEA89E8105258760005E7F6E/$FILE/Asis_vot_OFICIAL_16-09-21.pdf
dia,2021-09-16
hora,22:41
asunto,"NÓMINA DE INTEGRANTES DE LA COMISIÓN ESPECIAL MULTIPARTIDARIA DE PROTECCIÓN A LA INFANCIA EN EL CONTEXTO DE LA EMERGENCIA SANITARIA, CONSTITUIDA POR LA MOCIÓN DE ORDEN DEL DÍA 76"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
