metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/382A2B3794256920052587F9006F8789/$FILE/Asis_vot_OFICIAL_28-02-22.pdf
dia,2022-02-28
hora,21:00
asunto,"CUESTION DE ORDEN PARA QUE LA COMISIÓN DE CONSTITUCIÓN Y REGLAMENTO INFORME RESPECTO DE LA PROCEDENCIA DE LA MOCIÓN DE CENSURA 2066, EN RAZÓN DE QUE CONTIENE ASPECTOS NO CONTEMPLADOS EN LA MOCIÓN DE INTERPELACIÓN QUE LA ORIGINÓ. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
