metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 02 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,21:55
asunto,"MOCIÓN 1837, QUE PROPONE EXHORTAR AL PODER EJECUTIVO A TRAVÉS DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES, A DECLARAR EN SITUACIÓN DE EMERGENCIA LA REPARACIÓN DE UNO DE LOS CABLES DE LA INFRAESTRUCTURA DEL PUENTE PIZANA UBICADO EN EL KILÓMETRO 674 DE LA CARRETERA TINGO MARÍA - TARAPOTO, EN EL DISTRITO DE LA PÓLVORA EN LA REGIÓN SAN MARTÍN Y LA HABILITACIÓN DEL CITADO PUENTE"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
