metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de octubre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DDC8C7746FFD9C1505258790006CEDEF/$FILE/Asis_vot_OFICIAL_28.10.21.pdf
dia,2021-10-28
hora,19:42
asunto,"TEXTO SUSTITUTORIO CONSENSUADO DE LAS COMISIONES AGRARIA Y DE EDUCACIÓN RECAÍDO EN EL PROYECTO DE LEY 189, QUE PROPONE LA LEY QUE CREA EL SERVICIO CIVIL DE GRADUANDOS PARA EL SECTOR AGRARIO (SECIGRA AGRARIO), PARA IMPULSAR LA PARTICIPACIÓN DE LOS ESTUDIANTES Y EGRESADOS EN LA ACTIVIDAD AGRARIA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
