metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/63496A82320A2BF40525874F00537F01/$FILE/Asis_vot_OFICIAL-02-09-21.pdf
dia,2021-09-02
hora,18:43
asunto,"MOCIÓN 114, QUE PROPONE CONFORMAR LA COMISIÓN ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTIÓN DE RIESGO DE DESASTRES, CON EL OBJETO DE FACILITAR LAS ACCIONES DEL EJECUTIVO DENTRO DE LAS ATRIBUCIONES DEL CONGRESO DE LA REPÚBLICA PARA LOGRAR ATENCIÓN INMEDIATA DE LAS MEDIDAS DICTADAS; APOYAR SU EJECUCIÓN, INVESTIGAR Y FISCALIZAR EL USO DE LOS RECURSOS DE MANERA EFICIENTE, ASIGNADOS A LAS ACTIVIDADES PARA EL CUMPLIMIENTO DEL PLAN  "
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,65
