metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,17:54
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 440, PROPONE CONSTITUIR LA COMISION MULTIPARTIDARIA DEL BICENTENARIO DE LA INDEPENDENCIA DEL PERÚ, PARA EL PERIODO 2021-2026, A FIN DE QUE ENTRE OTRAS DESARROLLE ACCIONES DE COORDINACION, SEGUIMIENTO Y MONITOREO A LA EJECUCION DE LOS PROYECTOS DE INVERSIÓN PUBLICA INCLUIDOS EN LA AGENDA DE CONMEMORACION DEL BICENTENARIO DE LA INDEPENDENCIA DEL PERÚ"
presidente,"WONG PUJADA, ENRIQUE"
quorum,65
