metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 2 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,17:03
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DE TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 627, QUE PROPONE MODIFICAR LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDADES , Y LA LEY 27867, LEY ORGÁNICA DE GOBIERNOS REGIONALES, RESPECTO A LAS ATRIBUCIONES Y RESPONSABILIDADES DE CONCEJOS MUNICIPALES Y CONSEJOS REGIONALES, PARA FORTALECER EL EJERCICIO DE SU FUNCIÓN DE FISCALIZACIÓN"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
