metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 13 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022_3.pdf
dia,2022-01-13
hora,21:17
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 39, 192, 207, 280, 286, 481 Y 626, QUE PROPONE LA LEY QUE MODIFICA LOS ARTÍCULOS 5, 8, 9 Y 26 DEL DECRETO LEGISLATIVO 1260, DECRETO LEGISLATIVO QUE FORTALECE EL CUERPO GENERAL DE BOMBEROS VOLUNTARIOS DEL PERÚ COMO PARTE DEL SISTEMA NACIONAL DE SEGURIDAD CIUDADANA Y REGULA LA INTENDENCIA NACIONAL DE BOMBEROS DEL PERÚ"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
