metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,15:49
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 010, QUE PROPONE CONFORMAR UNA COMISIÓN INVESTIGADORA MULTIPARTIDARIA QUE, POR EL PLAZO DE 30 DÍAS CALENDARIO, INVESTIGUE LAS PRESUNTAS IRREGULARIDADES O PRESUNTOS ÍLICITOS COMENTIDOS DURANTE LOS PRIMEROS DÍAS DE GOBIERNO DEL SEÑOR PRESIDENTE DE LA REPÚBLICA, REFERIDOS A LA VULNERACIÓN DEL PRINCIPIO DE TRANSPARENCIA EN EL DESARROLLO DE SU GESTIÓN. "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
