metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 17 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf
dia,2021-12-17
hora,18:47
asunto,"PROYECTO DE LEY 1008, QUE PROPONE LA LEY QUE AUTORIZA CRÉDITO SUPLEMENTARIO EN EL PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2021 DESTINADO A FINANCIAR INTERVENCIONES EN EL MARCO DE LA REACTIVACIÓN ECONÓMICA Y DICTA OTRAS DISPOSICIONES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
