metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 13 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022_3.pdf
dia,2022-01-13
hora,17:51
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 473, QUE PROPONE LA LEY QUE MODIFICA LOS ARTÍCULOS 97, 99 Y 100 DEL DECRETO LEGISLATIVO 1297, DECRETO LEGISLATIVO PARA LA PROTECCIÓN DE NIÑAS, NIÑOS Y ADOLESCENTES SIN CUIDADOS PARENTALES O EN RIESGO DE PERDERLOS, PARA ABREVIAR EL PROCESO JUDICIAL DE DESPROTECCIÓN FAMILIAR"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
