metadato,valor
dia,2023-06-23
hora,02:02
asunto,"MOCIÓN 6581, QUE PROPONE CONSTITUIR UNA COMISIÓN INVESTIGADORA ESPECIAL MULTIPARTIDARIA, POR 60 DÍAS ÚTILES, A PARTIR DE SU INSTALACIÓN, ENCARGADA DE INVESTIGAR LOS HECHOS OCURRIDOS EN DISTRITO DE CHANCAY, ZONA DE PERALVILLO, PARA REVISAR LOS PERMISOS DE LAS CONSTRUCCIONES DE LA OBRA MEGAPUERTO DE CHANCAY, REALIZADAS POR LA EMPRESAS COSCO SHIPPING PORTS, REVISAR LOS EXPEDIENTES TÉCNICOS DE DICHAS CONSTRUCCIONES Y EVALUAR LOS DAÑOS"
presidente,"WILLIAMS ZAPATA, JOSÉ DANIEL"
quorum,61
