metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,19:28
asunto,"MOCIÓN 1992, QUE PROPONE DECLARAR DE IMPORTANCIA E INTERÉS NACIONAL LA CONMEMORACIÓN DEL 'DÍA DEL NIÑO POR NACER', ENTENDIÉNDOSE POR 'NIÑO POR NACER' A TODO SER HUMANO DESDE EL MOMENTO DE SU CONCEPCIÓN ,TAL COMO LOS ESTABLECE NUESTRA CONSTITUCIÓN POLÍTICA, LAS LEYES SOBRE LA MATERIA EN NUESTRO ORDENAMIENTO JURÍDICO, ASÍ COMO LOS PRINCIPALES TRATADOS INTERNACIONALES DE DERECHOS HUMANOS DE LOS CUALES EL PERÚ FORMA PARTE."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,60
