metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 17 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf
dia,2021-12-17
hora,17:18
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 495, QUE PROPONE LA LEY QUE MODIFICA LA LEY 29944, LEY DE REFORMA MAGISTERIAL, PARA INCORPORAR EN SUS ALCANCES A LOS PROFESORES DE LAS INSTITUCIONES EDUCATIVAS PÚBLICAS DE EDUCACIÓN BÁSICA Y TÉCNICO-PRODUCTIVA ADMISTRADAS POR EL MINISTERIO DE DEFENSA Y EL MINISTERIO DEL INTERIOR"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
