metadato,valor
dia,2022-02-02
hora,21:52
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 1837, QUE PROPONE EXHORTAR AL PODER EJECUTIVO A TRAVÉS DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES, A DECLARAR EN SITUACIÓN DE EMERGENCIA LA REPARACIÓN DE UNO DE LOS CABLES DE LA INFRAESTRUCTURA DEL PUENTE PIZANA UBICADO EN EL KILÓMETRO 674 DE LA CARRETERA TINGO MARÍA - TARAPOTO, EN EL DISTRITO DE LA PÓLVORA EN LA REGIÓN SAN MARTÍN Y LA HABILITACIÓN DEL CITADO PUENTE"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
