metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/63496A82320A2BF40525874F00537F01/$FILE/Asis_vot_OFICIAL-02-09-21.pdf
dia,2021-09-02
hora,19:04
asunto,"MOCIÓN 060, QUE PROPONE CONFORMAR LA COMISIÓN ENCARGADA DEL SEGUIMIENTO, COORDINACIÓN Y FORMULACIÓN DE PROPUESTAS EN MATERIA DE MITIGACIÓN DE LOS EFECTOS DEL CAMBIO CLIMÁTICO, DURANTE EL PERIODO PARLAMENTARIO 2021-2026, A EFECTOS DE CONTRIBUIR CON LOS ESFUERZOS EN MATERIA LEGISLATIVA, DE SEGUIMIENTO Y DE CONTROL POLÍTICO A LAS ACCIONES DESARROLLADAS POR EL PODER EJECUTIVO, QUE ESTARÍA INTEGRADA POR TODOS LOS GRUPOS PARLAMENTARIOS "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
