metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1578E79652B80B060525873E0006FF63/$FILE/Asis-vot-OFICIAL-19-08-21.pdf
dia,2021-08-19
hora,20:50
asunto,"TEXTO SUSTITUTORIO DE LA MOCIÓN 038, QUE PROPONE EXHORTAR AL SEÑOR PRESIDENTE DE LA REPÚBLICA JOSÉ PEDRO CASTILLO TERRONES A TENER EN CUENTA PARA LA DESIGNACIÓN DE MINISTROS DE ESTADO LOS APSECTOS RELACIONADOS CON INVESTIGACIONES, PROCESOS, SENTENCIAS EN ASUNTOS DE TERRORISMO, NARCOTRÁFICO, LAVADO DE ACTIVOS Y ORGANIZACIÓN CRIMINAL, CONSIDERANDO ADEMÁS LA IDONEIDAD TÉCNICA Y MORAL REQUERIDA PARA DICHOS ALTOS CARGOS PÚBLICOS DEL PAÍS."
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
