metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 16 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/60DF5F886BE1797405258760005E97EA/$FILE/Asis_vot_OFICIAL_16-09-21_II.pdf
dia,2021-09-16
hora,23:52
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 345, QUE PROPONE CONSTITUIR UNA COMISIÓN MULTIPARTIDARIA DE ANÁLISIS, SEGUIMIENTO, COORDINACIÓN Y FORMULACIÓN DE PROPUESTAS PARA EL PROYECTO BINACIONAL PUYANGO-TUMBES, DURANTE EL PERIODO PARLAMENTARIO 2021-2026, CON LA FINALIDAD DE CONTRIBUIR CON LOS ESFUERZOS EN MATERIA LEGISLATIVA, DE SEGUIMIENTO Y CONTROL POLÍTICO A LAS ACCIONES DESARROLLADAS POR EL PODER EJECUTIVO, EL GOBIERNO REGIONAL DE TUMBES Y EL CONGRESO"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
