metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,20:10
asunto,"ADMISION A DEBATE DE LA MOCIÓN 501, QUE PROPONE CONFORMAR LA COMISIÓN ESPECIAL DE ESTUDIO QUE PERMITAN PROPONER SOLUCIONES PARA QUE LOS SECTORES POPULARES
PERUANOS PUEDAN FORMAR CAPITAL POR EL PERIODO PARLAMENTARIO 2021-2026"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
