metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 12 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F7C734009F8665A7052587D0005236BC/$FILE/Asis_vot_OFICIAL_12-01-2022_2.pdf
dia,2022-01-12
hora,11:45
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 564, QUE PROPONE LA LEY QUE PRECISA LA LEY 31173, LEY QUE GARANTIZA EL CUMPLIMIENTO DE LA LEY 29625, LEY DE DEVOLUCIÓN DE DINERO DEL FONAVI A LOS TRABAJADORES QUE CONTRIBUYERON AL MISMO, PRIORIZANDO A LA POBLACIÓN VULNERABLE, COMO CONSECUENCIA DE LA PANDEMIA DE LA COVID-19"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
