metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 2 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,13:30
asunto,"SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 1160 (ACTUALIZADO), QUE PROPONE LA LEY DE REFORMA CONSTITUCIONAL QUE REFUERZA LA PROTECCIÓN DEL PATRIMONIO CULTURAL DE LA NACIÓN"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,64
