periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-06-15,"Asistencias y votaciones de la sesión del 15-06-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/7AC1D34A7321467E052589D4004E7B31/$FILE/Asis_vot_OFICIAL_15-06-23.pdf,Asis_vot_OFICIAL_15-06-23.pdf,43,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-06-14,"Asistencias y votaciones de la sesión del 14-06-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B0122ACCFF7E4E3F052589D3006FE6F9/$FILE/Asis_vot_OFICIAL_14-06-23.pdf,Asis_vot_OFICIAL_14-06-23.pdf,20,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-06-08,"Asistencias y votaciones de la sesión del 08-06-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F826D7E791DBA887052589D0006DD46A/$FILE/Asis_vot_OFICIAL_08-06-23.pdf,Asis_vot_OFICIAL_08-06-23.pdf,42,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-25,"Asistencias y votaciones de la sesión del 25-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/3CD94D01E9D954C4052589BF00795DEF/$FILE/Asis_vot_OFICIAL_25-05-23.pdf,Asis_vot_OFICIAL_25-05-23.pdf,52,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-24,"Asistencias y votaciones de la sesión del 24-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/BA9174B11864EA62052589BF0070A5FB/$FILE/Asis_vot_OFICIAL_24-05-23.pdf,Asis_vot_OFICIAL_24-05-23.pdf,24,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-18,"Asistencias y votaciones de la sesión del 18-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2CBB16A14296F9D052589BB000BBA71/$FILE/Asis_vot_OFICIAL_18-05-23.pdf,Asis_vot_OFICIAL_18-05-23.pdf,38,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-17,"Asistencias y votaciones de la sesión del 17-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/6623058347641FBB052589B700520A6B/$FILE/Asis_vot_OFICIAL_17-05-2023.pdf,Asis_vot_OFICIAL_17-05-2023.pdf,5,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-11,"Asistencias y votaciones de la sesión del 11-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/29472350CE0C791F052589B30062CAB5/$FILE/Asis_vot_OFICIAL_11-05-23.pdf,Asis_vot_OFICIAL_11-05-23.pdf,68,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-10,"Asistencias y votaciones de la sesión del 10-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/35FCEB8F80DDAEA4052589B3006261FE/$FILE/Asis_vot_OFICIAL_10-05-23.pdf,Asis_vot_OFICIAL_10-05-23.pdf,19,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-04,"Asistencias y votaciones de la sesión del 04-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C0F3E11393BF95DA052589AC007386AF/$FILE/Asis_vot_OFICIAL_04-05-23.pdf,Asis_vot_OFICIAL_04-05-23.pdf,68,false
