metadato,valor
dia,2023-05-04
hora,21:50
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 1628, QUE PROPONE ESTABLECER MEDIDAS PARA IMPLEMENTAR LAS RECOMENDACIONES TÉCNICAS EMITIDAS POR LAS ENTIDADES COMPETENTES, A FIN DE SUPERAR EL RIESGO MITIGABLE EN POSESIONES INFORMALES EN VÍAS DE FORMALIZACIÓN POR PARTE DEL ORGANISMO DE FORMALIZACIÓN DE LA PROPIEDAD INFORMAL-COFOPRI"
presidente,"WILLIAMS ZAPATA, JOSÉ DANIEL"
quorum,61
