metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1BF7AD99878BDBB70525873E00044D38/$FILE/Asis_vot_OFICIAL_12_08_21.pdf
dia,2021-08-12
hora,19:01
asunto,"RECONSIDERACIÓN DE LA VOTACIÓN DEL CUADRO NOMINATIVO DE LAS COMISIONES ORDINARIAS Y DE LA COMISIÓN PERMANENTE PARA EL PERIODO ANUAL DE SESIONES 2021-2022, ARPOBADO POR LA JUNTA DE PORTAVOCES Y POR EL CONSEJO DIRECTIVO EN SUS SESIONES CELEBRADAS EL 10 DE AGOSTO DE 2021."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
