metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión Virtual del 16 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0E8FA912FD5064D8052587B30062EA0C/$FILE/Asis_vot_OFICIAL_16-12-2021.pdf
dia,2021-12-16
hora,19:06
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 688, 705 Y 733, QUE PROPONE LA LEY QUE PRORROGA LA VIGENCIA DEL PROCESO DE FORMALIZACIÓN MINERA INTEGRAL."
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,63
