metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,21:37
asunto,"MOCIÓN 1985, QUE PROPONE REITERAR LA EXHORTACIÓN AL PODER EJECUTIVO, PARA QUE, A TRAVÉS DEL PROGRAMA NACIONAL DE BECAS Y CRÉDITO EDUCATIVO (PRONABEC), EL MINISTERIO DE EDUCACIÓN Y EL MINISTERIO DE ECONOMÍA Y FINANZAS, DISPONGA EL FINANCIAMIENTO PRESUPUESTAL PARA LA AMPLIACIÓN DE LA BECA DE CONTINUIDAD DE ESTUDIOS DE EDUCACIÓN SUPERIOR."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
