metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,18:43
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 584, 787, 1011, 1062, 1134, 1355, 1425 Y 1451, QUE PROPONE MODIFICAR LAS NORMAS QUE REGULAN LOS PROCESOS DE ALIMENTOS, A FIN DE GARANTIZAR LA DEBIDA APLICACIÓN DEL PRINCIPIO DEL INTERÉS SUPERIOR DEL NIÑO Y LA OBTENCIÓN DE UNA PENSIÓN DE ALIMENTOS ADECUADA."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,59
