metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,21:54
asunto,"ALLANAMIENTO A LA OBSERVACIONES FORMULADAS POR EL PRESIDENTE DE LA REPÚBLICA A LA AUTÓGRAFA RECAÍDA EN LOS PROYECTOS DE LEY 129, 337, 429, 432, 443, 444, 445, 446 Y 508, QUE PROPONE REVALORIZAR LA CARRERA DOCENTE, MODIFICANDO LOS ARTÍCULOS 53 Y 63 DE LA LEY 29944, LEY DE REFORMA MAGISTERIAL SOBRE LA COMPENSACIÓN POR TIEMPO DE SERVICIOS"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
