numero,grupo_parlamentario,congresista,asistencia
94,APP,"PICÓN QUEDO, LUIS RAÚL",PRE
95,PL,"PORTALATINO ÁVALOS, KELLY ROXANA",LO
96,AP,"PORTERO LÓPEZ, HILDA MARLENY",PRE
97,PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",AUS
98,PL,"QUISPE MAMANI, WILSON RUSBEL",PRE
99,PL,"QUITO SARMIENTO, BERNARDO JAIME",PRE
100,FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",PRE
101,FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",PRE
102,PL,"REYES CAM, ABEL AUGUSTO",PRE
103,JP,"REYMUNDO MERCADO, EDGARD CORNELIO",PRE
104,PL,"RIVAS CHACARA, JANET MILAGROS",PRE
105,PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",PRE
106,APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",PRE
107,SP,"SAAVEDRA CASTERNOQUE, HITLER",LO
108,APP,"SALHUANA CAVIDES, EDUARDO",AUS
109,JP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",PRE
110,AP,"SOTO PALACIOS, WILSON",PRE
111,APP,"SOTO REYES, ALEJANDRO",PRE
112,PL,"TACURI VALDIVIA, GERMÁN ADOLFO",PRE
113,PL,"TAIPE CORONADO, MARÍA ELIZABETH",PRE
114,PL,"TELLO MONTES, NIVARDO EDGAR",PRE
115,APP,"TORRES SALINAS, ROSIO",AUS
116,APP,"TRIGOZO REÁTEGUI, CHERYL",AUS
117,AP-PIS,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",PRE
118,PL,"UGARTE MAMANI, JHAKELINE KATY",PRE
119,SP,"VALER PINTO, HÉCTOR",PRE
120,PL,"VARAS MELÉNDEZ, ELÍAS MARCIAL",PRE
121,PL,"VÁSQUEZ VELA, LUCINDA",PRE
122,FP,"VENTURA ANGEL, HÉCTOR JOSÉ",PRE
123,AP,"VERGARA MENDOZA, ELVIS HERNÁN",PRE
124,AP-PIS,"WILLIAMS ZAPATA, JOSÉ DANIEL",PRE
125,PP,"WONG PUJADA, ENRIQUE",PRE
126,AP-PIS,"YARROW LUMBRERAS, NORMA MARTINA",PRE
127,PL,"ZEA CHOQUECHAMBI, OSCAR",AUS
128,RP,"ZEBALLOS APONTE, JORGE ARTURO",PRE
129,NA,"ZEBALLOS MADARIAGA, CARLOS JAVIER",PRE
130,FP,"ZETA CHUNGA, CRUZ MARÍA",PRE
